k,obj_value,per_red
1,1007.6097723156148,50
2,1007.6097723156148,50
3,1007.6097723156148,50
4,1007.6097723156148,50
5,1007.6097723156148,50
6,1007.6097723156148,50
7,1007.6097723156148,50
8,979.5502736668993,50
9,918.2165702044272,50
10,918.2165702044272,50
11,918.2165702044272,50
12,918.2165702044272,50
13,910.7807339749277,50
14,910.7807339749277,50
15,910.7807339749277,50
16,910.7807339749277,50
17,910.7807339749277,50
18,910.7807339749277,50
19,910.7807339749277,50
20,910.7807339749277,50
21,910.7807339749277,50
22,910.7807339749277,50
23,910.7807339749277,50
24,910.7807339749277,50
25,910.7807339749277,50
26,910.7807339749277,50
27,910.7807339749277,50
28,910.7807339749277,50
29,910.7807339749277,50
30,910.7807339749277,50
31,910.7807339749277,50
32,910.7807339749277,50
33,910.7807339749277,50
34,910.7807339749277,50
35,910.7807339749277,50
36,910.7807339749277,50
37,910.7807339749277,50
38,910.7807339749277,50
39,910.7807339749277,50
40,910.7807339749277,50
41,910.7807339749277,50
42,910.7807339749277,50
43,910.7807339749277,50
44,910.7807339749277,50
45,910.7807339749277,50
46,910.7807339749277,50
47,910.7807339749277,50
48,910.7807339749277,50
49,910.7807339749277,50
50,910.7807339749277,50
51,910.7807339749277,50
52,910.7807339749277,50
53,910.7807339749277,50
54,910.7807339749277,50
55,910.7807339749277,50
56,910.7807339749277,50
57,910.7807339749277,50
58,910.7807339749277,50
59,910.7807339749277,50
60,910.7807339749277,50
61,910.7807339749277,50
62,910.7807339749277,50
63,910.7807339749277,50
64,910.7807339749277,50
65,910.7807339749277,50
66,910.7807339749277,50
67,910.7807339749277,50
68,910.7807339749277,50
69,910.7807339749277,50
70,910.7807339749277,50
71,910.7807339749277,50
72,910.7807339749277,50
73,910.7807339749277,50
74,910.7807339749277,50
75,910.7807339749277,50
76,910.7807339749277,50
77,910.7807339749277,50
78,910.7807339749277,50
79,910.7807339749277,50
80,910.7807339749277,50
81,910.7807339749277,50
82,910.7807339749277,50
83,910.7807339749277,50
84,910.7807339749277,50
85,910.7807339749277,50
86,910.7807339749277,50
87,910.7807339749277,50
88,910.7807339749277,50
89,910.7807339749277,50
90,910.7807339749277,50
91,910.7807339749277,50
92,910.7807339749277,50
93,910.7807339749277,50
94,910.7807339749277,50
95,910.7807339749277,50
96,910.7807339749277,50
97,910.7807339749277,50
98,910.7807339749277,50
99,910.7807339749277,50
100,910.7807339749277,50
101,910.7807339749277,50
102,910.7807339749277,50
103,910.7807339749277,50
104,910.7807339749277,50
105,910.7807339749277,50
106,910.7807339749277,50
107,910.7807339749277,50
108,910.7807339749277,50
109,910.7807339749277,50
110,910.7807339749277,50
111,910.7807339749277,50
112,910.7807339749277,50
113,910.7807339749277,50
114,910.7807339749277,50
115,910.7807339749277,50
116,910.7807339749277,50
117,910.7807339749277,50
118,910.7807339749277,50
119,910.7807339749277,50
120,910.7807339749277,50
121,910.7807339749277,50
122,910.7807339749277,50
123,910.7807339749277,50
124,910.7807339749277,50
125,910.7807339749277,50
126,910.7807339749277,50
127,910.7807339749277,50
128,910.7807339749277,50
129,910.7807339749277,50
130,910.7807339749277,50
131,910.7807339749277,50
132,910.7807339749277,50
133,910.7807339749277,50
134,910.7807339749277,50
135,910.7807339749277,50
136,910.7807339749277,50
137,910.7807339749277,50
138,910.7807339749277,50
139,910.7807339749277,50
140,910.7807339749277,50
141,910.7807339749277,50
142,910.7807339749277,50
143,910.7807339749277,50
144,910.7807339749277,50
145,910.7807339749277,50
146,910.7807339749277,50
147,910.7807339749277,50
148,910.7807339749277,50
149,910.7807339749277,50
150,910.7807339749277,50
151,910.7807339749277,50
152,910.7807339749277,50
153,910.7807339749277,50
154,910.7807339749277,50
155,910.7807339749277,50
156,910.7807339749277,50
157,910.7807339749277,50
158,910.7807339749277,50
159,910.7807339749277,50
160,910.7807339749277,50
161,910.7807339749277,50
162,910.7807339749277,50
163,910.7807339749277,50
164,910.7807339749277,50
165,910.7807339749277,50
166,910.7807339749277,50
167,910.7807339749277,50
168,910.7807339749277,50
169,910.7807339749277,50
170,910.7807339749277,50
171,910.7807339749277,50
172,910.7807339749277,50
173,910.7807339749277,50
174,910.7807339749277,50
175,910.7807339749277,50
176,910.7807339749277,50
177,910.7807339749277,50
178,910.7807339749277,50
179,910.7807339749277,50
180,910.7807339749277,50
181,910.7807339749277,50
182,910.7807339749277,50
183,910.7807339749277,50
184,910.7807339749277,50
185,910.7807339749277,50
186,910.7807339749277,50
187,910.7807339749277,50
188,910.7807339749277,50
189,910.7807339749277,50
190,910.7807339749277,50
191,910.7807339749277,50
192,910.7807339749277,50
193,910.7807339749277,50
194,910.7807339749277,50
195,910.7807339749277,50
196,910.7807339749277,50
197,910.7807339749277,50
198,910.7807339749277,50
199,910.7807339749277,50
200,910.7807339749277,50
201,910.7807339749277,50
202,910.7807339749277,50
203,910.7807339749277,50
204,910.7807339749277,50
205,910.7807339749277,50
206,910.7807339749277,50
207,910.7807339749277,50
208,910.7807339749277,50
209,910.7807339749277,50
210,910.7807339749277,50
211,910.7807339749277,50
212,910.7807339749277,50
213,910.7807339749277,50
214,910.7807339749277,50
215,910.7807339749277,50
216,910.7807339749277,50
217,910.7807339749277,50
218,910.7807339749277,50
219,910.7807339749277,50
220,910.7807339749277,50
221,910.7807339749277,50
222,910.7807339749277,50
223,910.7807339749277,50
224,910.7807339749277,50
225,910.7807339749277,50
226,910.7807339749277,50
227,910.7807339749277,50
228,910.7807339749277,50
229,910.7807339749277,50
230,910.7807339749277,50
231,910.7807339749277,50
232,910.7807339749277,50
233,910.7807339749277,50
234,910.7807339749277,50
235,910.7807339749277,50
236,910.7807339749277,50
237,910.7807339749277,50
238,910.7807339749277,50
239,910.7807339749277,50
240,910.7807339749277,50
241,910.7807339749277,50
242,910.7807339749277,50
243,910.7807339749277,50
244,910.7807339749277,50
245,910.7807339749277,50
246,910.7807339749277,50
247,910.7807339749277,50
248,910.7807339749277,50
249,910.7807339749277,50
250,910.7807339749277,50
251,910.7807339749277,50
252,910.7807339749277,50
253,910.7807339749277,50
254,910.7807339749277,50
255,910.7807339749277,50
256,910.7807339749277,50
257,910.7807339749277,50
258,910.7807339749277,50
259,910.7807339749277,50
260,910.7807339749277,50
261,910.7807339749277,50
262,910.7807339749277,50
263,910.7807339749277,50
264,910.7807339749277,50
265,910.7807339749277,50
266,910.7807339749277,50
267,910.7807339749277,50
268,910.7807339749277,50
269,910.7807339749277,50
270,910.7807339749277,50
271,910.7807339749277,50
272,910.7807339749277,50
273,910.7807339749277,50
274,910.7807339749277,50
275,910.7807339749277,50
276,910.7807339749277,50
277,910.7807339749277,50
278,910.7807339749277,50
279,910.7807339749277,50
280,910.7807339749277,50
281,910.7807339749277,50
282,910.7807339749277,50
283,910.7807339749277,50
284,910.7807339749277,50
285,910.7807339749277,50
286,910.7807339749277,50
287,910.7807339749277,50
288,910.7807339749277,50
289,910.7807339749277,50
290,910.7807339749277,50
291,910.7807339749277,50
292,910.7807339749277,50
293,910.7807339749277,50
294,910.7807339749277,50
295,910.7807339749277,50
296,910.7807339749277,50
297,910.7807339749277,50
298,910.7807339749277,50
299,910.7807339749277,50
300,910.7807339749277,50
301,910.7807339749277,50
302,910.7807339749277,50
303,910.7807339749277,50
304,910.7807339749277,50
305,910.7807339749277,50
306,910.7807339749277,50
307,910.7807339749277,50
308,910.7807339749277,50
309,910.7807339749277,50
310,910.7807339749277,50
311,910.7807339749277,50
312,910.7807339749277,50
313,910.7807339749277,50
314,910.7807339749277,50
315,910.7807339749277,50
316,910.7807339749277,50
317,910.7807339749277,50
318,910.7807339749277,50
319,910.7807339749277,50
320,910.7807339749277,50
321,910.7807339749277,50
322,910.7807339749277,50
323,910.7807339749277,50
324,910.7807339749277,50
325,910.7807339749277,50
326,910.7807339749277,50
327,910.7807339749277,50
328,910.7807339749277,50
329,910.7807339749277,50
330,910.7807339749277,50
331,910.7807339749277,50
332,910.7807339749277,50
333,910.7807339749277,50
334,910.7807339749277,50
335,910.7807339749277,50
336,910.7807339749277,50
337,910.7807339749277,50
338,910.7807339749277,50
339,910.7807339749277,50
340,910.7807339749277,50
341,910.7807339749277,50
342,910.7807339749277,50
343,910.7807339749277,50
344,910.7807339749277,50
345,910.7807339749277,50
346,910.7807339749277,50
347,910.7807339749277,50
348,910.7807339749277,50
349,910.7807339749277,50
