k,obj_value,per_red
2,736.410972198811,50
3,736.410972198811,50
4,736.410972198811,50
5,736.410972198811,50
6,736.410972198811,50
7,736.410972198811,50
8,719.5639826531312,50
9,719.5639826531312,50
10,719.5639826531312,50
11,719.5639826531312,50
12,719.5639826531312,50
13,681.0221883820482,50
14,681.0221883820482,50
15,681.0221883820482,50
16,681.0221883820482,50
17,681.0221883820482,50
18,681.0221883820482,50
19,681.0221883820482,50
20,681.0221883820482,50
21,681.0221883820482,50
22,681.0221883820482,50
23,681.0221883820482,50
24,681.0221883820482,50
25,681.0221883820482,50
26,681.0221883820482,50
27,681.0221883820482,50
28,681.0221883820482,50
29,681.0221883820482,50
30,670.3782905593159,50
31,670.3782905593159,50
32,670.3782905593159,50
33,670.3782905593159,50
34,670.3782905593159,50
35,670.3782905593159,50
36,641.5029237193514,50
37,633.0974458140519,50
38,633.0974458140519,50
39,625.3724476858692,50
40,625.3724476858692,50
41,625.3724476858692,50
42,625.3724476858692,50
43,625.3724476858692,50
44,625.3724476858692,50
45,625.3724476858692,50
46,625.3724476858692,50
47,625.3724476858692,50
48,625.3724476858692,50
49,625.3724476858692,50
50,625.3724476858692,50
51,625.3724476858692,50
52,625.3724476858692,50
53,625.3724476858692,50
54,625.3724476858692,50
55,625.3724476858692,50
56,625.3724476858692,50
57,625.3724476858692,50
58,625.3724476858692,50
59,625.3724476858692,50
60,625.3724476858692,50
61,625.3724476858692,50
62,625.3724476858692,50
63,625.3724476858692,50
64,625.3724476858692,50
65,625.3724476858692,50
66,625.3724476858692,50
67,625.3724476858692,50
68,625.3724476858692,50
69,625.3724476858692,50
70,625.3724476858692,50
71,625.3724476858692,50
72,625.3724476858692,50
73,625.3724476858692,50
74,625.3724476858692,50
75,625.3724476858692,50
76,625.3724476858692,50
77,625.3724476858692,50
78,625.3724476858692,50
79,625.3724476858692,50
80,625.3724476858692,50
81,625.3724476858692,50
82,625.3724476858692,50
83,625.3724476858692,50
84,625.3724476858692,50
85,625.3724476858692,50
86,625.3724476858692,50
87,625.3724476858692,50
88,625.3724476858692,50
89,625.3724476858692,50
90,625.3724476858692,50
91,625.3724476858692,50
92,625.3724476858692,50
93,624.3704351039689,50
94,624.3704351039689,50
95,624.3704351039689,50
96,624.3704351039689,50
97,624.3704351039689,50
98,624.3704351039689,50
99,624.3704351039689,50
100,624.3704351039689,50
101,624.3704351039689,50
102,624.3704351039689,50
103,624.3704351039689,50
104,624.3704351039689,50
105,624.3704351039689,50
106,624.3704351039689,50
107,624.3704351039689,50
108,624.3704351039689,50
109,624.3704351039689,50
110,624.3704351039689,50
111,624.3704351039689,50
112,624.3704351039689,50
113,624.3704351039689,50
114,624.3704351039689,50
115,624.3704351039689,50
116,624.3704351039689,50
117,624.3704351039689,50
118,624.3704351039689,50
119,624.3704351039689,50
120,624.3704351039689,50
121,624.3704351039689,50
122,624.3704351039689,50
123,624.3704351039689,50
124,624.3704351039689,50
125,624.3704351039689,50
126,624.3704351039689,50
127,624.3704351039689,50
128,624.3704351039689,50
129,624.3704351039689,50
130,624.3704351039689,50
131,624.3704351039689,50
132,624.3704351039689,50
