k,obj_value,per_red
13,717.879167430762,50
14,699.679176234061,50
15,699.679176234061,50
16,699.679176234061,50
17,699.679176234061,50
18,699.679176234061,50
19,699.679176234061,50
20,699.679176234061,50
21,699.679176234061,50
22,699.679176234061,50
23,699.679176234061,50
24,699.679176234061,50
25,696.9224363568896,50
26,696.9224363568896,50
27,696.9224363568896,50
28,696.9224363568896,50
29,696.9224363568896,50
30,696.9224363568896,50
31,696.9224363568896,50
32,696.9224363568896,50
33,696.9224363568896,50
34,696.9224363568896,50
35,696.9224363568896,50
36,696.9224363568896,50
37,696.9224363568896,50
38,696.9224363568896,50
39,696.9224363568896,50
40,696.9224363568896,50
41,696.9224363568896,50
42,696.9224363568896,50
43,696.9224363568896,50
44,696.9224363568896,50
45,696.9224363568896,50
46,696.9224363568896,50
47,674.7368863071638,50
48,674.7368863071638,50
49,674.7368863071638,50
50,674.7368863071638,50
51,674.7368863071638,50
52,674.7368863071638,50
53,674.7368863071638,50
54,674.7368863071638,50
55,674.7368863071638,50
56,674.7368863071638,50
57,674.7368863071638,50
58,674.7368863071638,50
59,674.7368863071638,50
60,674.7368863071638,50
61,674.7368863071638,50
62,674.7368863071638,50
63,674.7368863071638,50
64,674.7368863071638,50
65,674.7368863071638,50
66,674.7368863071638,50
67,674.7368863071638,50
68,674.7368863071638,50
69,674.7368863071638,50
70,674.7368863071638,50
71,674.7368863071638,50
72,674.7368863071638,50
73,674.7368863071638,50
74,674.7368863071638,50
75,674.7368863071638,50
76,674.7368863071638,50
77,674.7368863071638,50
78,674.7368863071638,50
79,674.7368863071638,50
80,674.7368863071638,50
81,674.7368863071638,50
82,674.7368863071638,50
83,674.7368863071638,50
84,674.7368863071638,50
85,674.7368863071638,50
86,674.7368863071638,50
87,674.7368863071638,50
88,674.7368863071638,50
89,674.7368863071638,50
90,674.7368863071638,50
91,674.7368863071638,50
92,674.7368863071638,50
93,674.7368863071638,50
94,674.7368863071638,50
95,674.7368863071638,50
96,674.7368863071638,50
97,674.7368863071638,50
98,674.7368863071638,50
99,674.7368863071638,50
100,674.7368863071638,50
101,674.7368863071638,50
102,674.7368863071638,50
103,674.7368863071638,50
104,674.7368863071638,50
105,674.7368863071638,50
106,674.7368863071638,50
107,674.7368863071638,50
108,674.7368863071638,50
109,674.7368863071638,50
110,674.7368863071638,50
111,674.7368863071638,50
112,674.7368863071638,50
113,674.7368863071638,50
114,674.7368863071638,50
115,674.7368863071638,50
116,674.7368863071638,50
117,674.7368863071638,50
118,674.7368863071638,50
119,674.7368863071638,50
120,674.7368863071638,50
121,674.7368863071638,50
122,674.7368863071638,50
123,674.7368863071638,50
124,674.7368863071638,50
125,674.7368863071638,50
126,674.7368863071638,50
127,674.7368863071638,50
128,674.7368863071638,50
129,674.7368863071638,50
130,674.7368863071638,50
131,674.7368863071638,50
132,674.7368863071638,50
133,674.7368863071638,50
134,674.7368863071638,50
135,674.7368863071638,50
136,674.7368863071638,50
137,674.7368863071638,50
138,674.7368863071638,50
139,674.7368863071638,50
140,674.7368863071638,50
141,674.7368863071638,50
142,674.7368863071638,50
143,674.7368863071638,50
144,674.7368863071638,50
145,674.7368863071638,50
146,674.7368863071638,50
147,674.7368863071638,50
148,674.7368863071638,50
149,674.7368863071638,50
150,674.7368863071638,50
