k,obj_value,per_red
1,959.6196797230223,50
2,959.6196797230223,50
3,959.6196797230223,50
4,959.6196797230223,50
5,959.6196797230223,50
6,959.6196797230223,50
7,959.6196797230223,50
8,932.4232829261592,50
9,875.646871130353,50
10,875.646871130353,50
11,875.646871130353,50
12,875.646871130353,50
13,867.7000163823351,50
14,867.7000163823351,50
15,867.7000163823351,50
16,867.7000163823351,50
17,867.7000163823351,50
18,867.7000163823351,50
19,867.7000163823351,50
20,867.7000163823351,50
21,867.7000163823351,50
22,867.7000163823351,50
23,867.7000163823351,50
24,867.7000163823351,50
25,867.7000163823351,50
26,867.7000163823351,50
27,867.7000163823351,50
28,867.7000163823351,50
29,867.7000163823351,50
30,867.7000163823351,50
31,867.7000163823351,50
32,867.7000163823351,50
33,867.7000163823351,50
34,867.7000163823351,50
35,867.7000163823351,50
36,867.7000163823351,50
37,867.7000163823351,50
38,867.7000163823351,50
39,867.7000163823351,50
40,867.7000163823351,50
41,867.7000163823351,50
42,867.7000163823351,50
43,867.7000163823351,50
44,867.7000163823351,50
45,867.7000163823351,50
46,867.7000163823351,50
47,867.7000163823351,50
48,867.7000163823351,50
49,867.7000163823351,50
50,867.7000163823351,50
51,867.7000163823351,50
52,867.7000163823351,50
53,867.7000163823351,50
54,867.7000163823351,50
55,867.7000163823351,50
56,867.7000163823351,50
57,867.7000163823351,50
58,867.7000163823351,50
59,867.7000163823351,50
60,867.7000163823351,50
61,867.7000163823351,50
62,867.7000163823351,50
63,867.7000163823351,50
64,867.7000163823351,50
65,867.7000163823351,50
66,867.7000163823351,50
67,867.7000163823351,50
68,867.7000163823351,50
69,867.7000163823351,50
70,867.7000163823351,50
71,867.7000163823351,50
72,867.7000163823351,50
73,867.7000163823351,50
74,867.7000163823351,50
75,867.7000163823351,50
76,867.7000163823351,50
77,867.7000163823351,50
78,867.7000163823351,50
79,867.7000163823351,50
80,867.7000163823351,50
81,867.7000163823351,50
82,867.7000163823351,50
83,867.7000163823351,50
84,867.7000163823351,50
85,867.7000163823351,50
86,867.7000163823351,50
87,867.7000163823351,50
88,867.7000163823351,50
89,867.7000163823351,50
90,867.7000163823351,50
91,867.7000163823351,50
92,867.7000163823351,50
93,867.7000163823351,50
94,867.7000163823351,50
95,867.7000163823351,50
96,867.7000163823351,50
97,867.7000163823351,50
98,867.7000163823351,50
99,867.7000163823351,50
100,867.7000163823351,50
101,867.7000163823351,50
102,867.7000163823351,50
103,867.7000163823351,50
104,867.7000163823351,50
105,867.7000163823351,50
106,867.7000163823351,50
107,867.7000163823351,50
108,867.7000163823351,50
109,867.7000163823351,50
110,867.7000163823351,50
111,867.7000163823351,50
112,867.7000163823351,50
113,867.7000163823351,50
114,867.7000163823351,50
115,867.7000163823351,50
116,867.7000163823351,50
117,867.7000163823351,50
118,867.7000163823351,50
119,867.7000163823351,50
120,867.7000163823351,50
121,867.7000163823351,50
122,867.7000163823351,50
123,867.7000163823351,50
124,867.7000163823351,50
125,867.7000163823351,50
126,867.7000163823351,50
127,867.7000163823351,50
128,867.7000163823351,50
129,867.7000163823351,50
130,867.7000163823351,50
131,867.7000163823351,50
132,867.7000163823351,50
133,867.7000163823351,50
134,867.7000163823351,50
135,867.7000163823351,50
136,867.7000163823351,50
137,867.7000163823351,50
138,867.7000163823351,50
139,867.7000163823351,50
140,867.7000163823351,50
141,867.7000163823351,50
142,867.7000163823351,50
143,867.7000163823351,50
144,867.7000163823351,50
145,867.7000163823351,50
146,867.7000163823351,50
147,867.7000163823351,50
